,cross_val_dict,accuracy_dict,feature_importance_values,best_estimators
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.8097493843256555,0.7938931297709924,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"XGBoost Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8097421410980733,0.7862595419847328,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person']",0.8089164131537012,0.7786259541984732,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"Random Forest Classifier tuned ['pclass', 'sibsp', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8089019266985369,0.7633587786259542,,"RandomForestClassifier(max_depth=88, max_features=0.33370861113902184,
                       min_samples_leaf=8, min_samples_split=4,
                       n_estimators=671, random_state=42)"
XGBoost Classifier basic,0.8089019266985368,0.7786259541984732,,
"LightGBM Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8089019266985368,0.7938931297709924,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"Decision Tree Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8080906852093293,0.7786259541984732,,"DecisionTreeClassifier(max_depth=91, min_samples_leaf=10, min_samples_split=17,
                       random_state=42)"
"LightGBM Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8080761987541649,0.7862595419847328,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person']",0.8080544690714182,0.7938931297709924,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Random Forest Classifier tuned ['pclass', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8080399826162538,0.7938931297709924,,"RandomForestClassifier(max_depth=64, max_features=0.9922115592912175,
                       min_samples_split=13, n_estimators=323, random_state=42)"
